0.000000000000000000e+00,1.199999999999999992e-08,2.399999999999999984e-08,4.799999999999999968e-08,9.599999999999999936e-08,1.919999999999999987e-07,3.839999999999999974e-07,7.679999999999999949e-07,1.535999999999999990e-06,3.071999999999999980e-06,6.143999999999999959e-06,9.215999999999999515e-06,1.200000000000000030e-05
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.999999999999998890e-01,9.999999999999996669e-01,9.999999999999994449e-01
0.000000000000000000e+00,-3.436481754708660725e-12,-1.374588854528882925e-11,-7.069277020734458190e-11,-4.632781203435368219e-10,-2.337678171134479919e-09,-1.041506132414257376e-08,-4.396222947511820755e-08,-1.804099007220700112e-07,-7.299560937754565142e-07,-2.940225053451348242e-06,-6.635485612116030959e-06,-1.126782890990761071e-05
9.999999999999999547e-07,9.999919295812714954e-07,9.999838592927144241e-07,9.999677190312587559e-07,9.999354400942692297e-07,9.998708882479600125e-07,9.997418094167449498e-07,9.994837510048598002e-07,9.989680313906109994e-07,9.979381782139872133e-07,9.958847966253637646e-07,9.938398233284444937e-07,9.919938023813636194e-07
1.257677729514394809e-05,1.257657567850115728e-05,1.257637406511032925e-05,1.257597084621450757e-05,1.257516444804263720e-05,1.257355180228317715e-05,1.257032713185611908e-05,1.256388027049616215e-05,1.255099647093275765e-05,1.252526849482636918e-05,1.247397054897010749e-05,1.242288266050186394e-05,1.237676503515222212e-05
1.572097161892993723e-06,1.572298778601938436e-06,1.572500392058921013e-06,1.572903611087050931e-06,1.573710009523540325e-06,1.575322655812239054e-06,1.578547327297770464e-06,1.584994190774677235e-06,1.597877994571976985e-06,1.623605979146161243e-06,1.674903941938008361e-06,1.725991847341841787e-06,1.772109488039357227e-06
1.572097161892993511e-06,1.572097161892992029e-06,1.572097161892990547e-06,1.572097161892987582e-06,1.572097161892981653e-06,1.572097161892969582e-06,1.572097161892945442e-06,1.572097161892897161e-06,1.572097161892800599e-06,1.572097161892607688e-06,1.572097161892221864e-06,1.572097161891836041e-06,1.572097161891486428e-06
8.001667006354866274e+00,8.001667006354866274e+00,8.001667006354866274e+00,8.001667006354866274e+00,8.001667006354866274e+00,8.001667006354864498e+00,8.001667006354866274e+00,8.001667006354864498e+00,8.001667006354862721e+00,8.001667006354862721e+00,8.001667006354860945e+00,8.001667006354860945e+00,8.001667006354862721e+00
5.228781632229582144e+00,5.228781632229582144e+00,5.228781632229582144e+00,5.228781632229582144e+00,5.228781632229582144e+00,5.228781632229582144e+00,5.228781632229582144e+00,5.228781632229582144e+00,5.228781632229582144e+00,5.228781632229582144e+00,5.228781632229582144e+00,5.228781632229582144e+00,5.228781632229582144e+00
1.077147481624693315e+00,1.077147481624693093e+00,1.077147481624692871e+00,1.077147481624692871e+00,1.077147481624692649e+00,1.077147481624691761e+00,1.077147481624690650e+00,1.077147481624688208e+00,1.077147481624683545e+00,1.077147481624674663e+00,1.077147481624657122e+00,1.077147481624640024e+00,1.077147481624624925e+00
