0.000000000000000000e+00,1.199999999999999992e-08,2.399999999999999984e-08,4.799999999999999968e-08,9.599999999999999936e-08,1.919999999999999987e-07,3.839999999999999974e-07,7.679999999999999949e-07,1.535999999999999990e-06,3.071999999999999980e-06,3.839999999999999657e-06,5.375999999999999858e-06,8.447999999999999414e-06,1.200000000000000030e-05
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.999999999999997780e-01,9.999999999999995559e-01
-3.730472731099497570e-19,4.700198389941294718e-13,1.880079207941162632e-12,9.668895961441977250e-12,5.758767016892395937e-11,5.443123721119324824e-10,3.054382897193361341e-09,1.414403346522798549e-08,6.080718073355027972e-08,2.496680221054838813e-07,3.921960017051483414e-07,7.754823130208729358e-07,1.935854940353803955e-06,3.933409739645312231e-06
9.999999999999999547e-07,9.999919295813536576e-07,9.999838592927967980e-07,9.999677190313294832e-07,9.999354400939613332e-07,9.998708882475576718e-07,9.997418094159857965e-07,9.994837510039375931e-07,9.989680313893362148e-07,9.979381782124913531e-07,9.974240441023543488e-07,9.963973565927852543e-07,9.943502861349486922e-07,9.919938048439753295e-07
1.257677729514394809e-05,1.257657567850321219e-05,1.257637406511238754e-05,1.257597084621627110e-05,1.257516444803495292e-05,1.257355180227313304e-05,1.257032713183715570e-05,1.256388027047312624e-05,1.255099647090091090e-05,1.252526849478899639e-05,1.251242430456172590e-05,1.248677541369359557e-05,1.243563513359099973e-05,1.237676509667360236e-05
1.572097161892993723e-06,1.572298778599883535e-06,1.572500392056865687e-06,1.572903611085289315e-06,1.573710009531226091e-06,1.575322655822284229e-06,1.578547327316734896e-06,1.584994190797713143e-06,1.597877994603823941e-06,1.623605979183534242e-06,1.636450173644701034e-06,1.662099072980623764e-06,1.713239370018807571e-06,1.772109426517975934e-06
1.572097161892993511e-06,1.572097161892992029e-06,1.572097161892990547e-06,1.572097161892987582e-06,1.572097161892981653e-06,1.572097161892969582e-06,1.572097161892945442e-06,1.572097161892897161e-06,1.572097161892800599e-06,1.572097161892607688e-06,1.572097161892511126e-06,1.572097161892318214e-06,1.572097161891932391e-06,1.572097161891486216e-06
8.001667006354866274e+00,8.001667006354866274e+00,8.001667006354866274e+00,8.001667006354866274e+00,8.001667006354866274e+00,8.001667006354864498e+00,8.001667006354866274e+00,8.001667006354864498e+00,8.001667006354864498e+00,8.001667006354862721e+00,8.001667006354862721e+00,8.001667006354860945e+00,8.001667006354860945e+00,8.001667006354862721e+00
5.228781632229582144e+00,5.228781632229582144e+00,5.228781632229582144e+00,5.228781632229582144e+00,5.228781632229582144e+00,5.228781632229582144e+00,5.228781632229582144e+00,5.228781632229582144e+00,5.228781632229582144e+00,5.228781632229582144e+00,5.228781632229582144e+00,5.228781632229582144e+00,5.228781632229582144e+00,5.228781632229582144e+00
1.077147481624693315e+00,1.077147481624693315e+00,1.077147481624692871e+00,1.077147481624693093e+00,1.077147481624692649e+00,1.077147481624691983e+00,1.077147481624690650e+00,1.077147481624688208e+00,1.077147481624683545e+00,1.077147481624674663e+00,1.077147481624670000e+00,1.077147481624661340e+00,1.077147481624644243e+00,1.077147481624624925e+00
